username,displayName,tweet,likes,retweets,link,date
BashirAhmaad,Bashir Ahmad,I just don’t understand why the process of choosing the Vice Presidential Candidate of our party becomes a headache for members of the opposition parties? A Muslim-Muslim or a Christian-Christian ticket or whatever combination we come up with is only a business of ours not yours.,3783,605,https://twitter.com/BashirAhmaad/status/1536672214728200194,2022-06-14 11:29:40+00:00
bulamabukarti,Bulama Bukarti,"A Muslim-Muslim ticket isn’t just deeply unfair &amp; anti-Nigeria, it’s also politically dumb. It’d completely alienate Christian voters (40-ish percent) and a significant portion of Muslims would still vote for Atiku. In the end, it’d a stupid political suicide for BAT and the APC.",458,171,https://twitter.com/bulamabukarti/status/1536336457811517440,2022-06-13 13:15:29+00:00
bulamabukarti,Bulama Bukarti,"As a Muslim who’s profoundly spiritual, I don’t support a Muslim-Muslim ticket for the presidency because it’s deeply unfair, divisive and un-Nigerian. Imagine how you’d feel if a Christian-Christian ticket was proposed. Islam teaches us to treat others how we want to be treated.",11490,3599,https://twitter.com/bulamabukarti/status/1536072926293811202,2022-06-12 19:48:19+00:00
AishaYesufu,Aisha Yesufu,@CaptBarbosa1 @_christian_obi @obyezeks @PeterObi You are joking right?,1,0,https://twitter.com/AishaYesufu/status/1535902958050758656,2022-06-12 08:32:55+00:00
AishaYesufu,Aisha Yesufu,Jigawa too has many Christians https://t.co/pPGlCS0t6f,55,9,https://twitter.com/AishaYesufu/status/1535628346305937416,2022-06-11 14:21:43+00:00
AishaYesufu,Aisha Yesufu,"This was my take in January on Muslim-Muslim ticket.
Since many do not realise, it is not only Kaduna and Plateau or Benue that have Northern Christians. Kano, Jigawa, Katsina and all the other North Western States have Christians that are indigenes https://t.co/7zbB3h0LY3",232,58,https://twitter.com/AishaYesufu/status/1535625746676334592,2022-06-11 14:11:23+00:00
BashirAhmaad,Bashir Ahmad,"I am not blindly supporting or pushing for a Muslim/Muslim or Christian/Christian tickets, but consciously know that either of the two will definitely help us to reduce or even get rid of the politics that is solely based on religious prejudice in this country. It helped Kaduna.",3710,563,https://twitter.com/BashirAhmaad/status/1535612226656260099,2022-06-11 13:17:39+00:00
BashirAhmaad,Bashir Ahmad,"Dear Asiwaju, what matter the most is the competency of the person you are going to choose as your deputy, if he/she is a Nigerian with the capacity to help you achieve your great plans for this country, I am sure majority won’t bother whether he/she is a Christian or Muslim. https://t.co/NI81kVbIFD",4969,870,https://twitter.com/BashirAhmaad/status/1535576683411128324,2022-06-11 10:56:25+00:00
mrmacaronii,MrMacaroni,"Nigerians are suffering!! Igbo, Hausa or Yoruba. Christian or Muslim. We are all going through hardship. So why do we keep using tribalism to fight ourselves instead of joining hands together to fight the cause of this suffering and work towards a better society??",22297,7601,https://twitter.com/mrmacaronii/status/1534933284949467136,2022-06-09 16:19:47+00:00
AishaYesufu,Aisha Yesufu,"Let me ask you all a question!
All the Igbos that were killed in Anambra this past week, where they killed because they were Southern Christians?

We are all being killed by monsters and we are busy tagging victims and being outraged when the tag was ours!
Stop it! We are losing!",2946,779,https://twitter.com/AishaYesufu/status/1529214149938790400,2022-05-24 21:33:59+00:00
AishaYesufu,Aisha Yesufu,Boko Haram were killing Muslims in mosques and there was no serious outrage until they started killing Christians.  These terrorists get away because there are certain killings no one cares about,86,28,https://twitter.com/AishaYesufu/status/1529210119426396166,2022-05-24 21:17:58+00:00
AishaYesufu,Aisha Yesufu,Boko Haram were killing Muslims in mosques and there was no serious outrage until they started killing Christians.  These terrorists get away because there are certain killings no one cares about,46,5,https://twitter.com/AishaYesufu/status/1529210031346176000,2022-05-24 21:17:37+00:00
AishaYesufu,Aisha Yesufu,"@_hafsat_paki @shadesofdebby @EzenwokoMiracl1 You should read and comprehend everything she said. If it was Igbo Christian woman that was killed with her children by these murderers would have been bothered?

Those of you who are outraged when it affects your own are the real killers. You just don't use weapons!",6,2,https://twitter.com/AishaYesufu/status/1529200502361182209,2022-05-24 20:39:45+00:00
AishaYesufu,Aisha Yesufu,@TemmyBig1 The religious bias you have make you see the Christians that are persecuted and not the Muslims persecuted. I see all the human beings persecuted. Have a great day,0,0,https://twitter.com/AishaYesufu/status/1528325602532593665,2022-05-22 10:43:13+00:00
obyezeks,Oby Ezekwesili,"Here’s the thing. 

The individual with ABSOLUTE ACCOUNTABILITY for anything done to Churches and Christians in Sokoto is the Commander-in-Chief of the Armed Forces @DefenceInfoNG @HQNigerianArmy @PoliceNG  and DSS. 

The world and citizens of Nigeria are watching, @MBuhari .✍🏾",282,136,https://twitter.com/obyezeks/status/1525531037945802752,2022-05-14 17:38:37+00:00
dj_switchaholic,Dj Switch,"Spoke wit an Islamic scholar &amp; how most think; D battle to distinguish btwn cultural tenets &amp; wat Qur’an says aiding their unfortunate defense of evil acts using said Qur’an (applies to Christians 2). 
Note: Its easy 2 become Muslim/Christian, but not easy 2 become a human being!",162,35,https://twitter.com/dj_switchaholic/status/1525152565687615488,2022-05-13 16:34:42+00:00
AishaYesufu,Aisha Yesufu,"It seems you do not realise that Sokoto has a large population of Christians who are Sokoto indigenes. 
Everyone has a right to worship in their own way anywhere and anyplace. https://t.co/K7I5jjI5pv",64,20,https://twitter.com/AishaYesufu/status/1525018138139627521,2022-05-13 07:40:32+00:00
AreaFada1,Charly Boy Area Fada 1,"Pastor Tunde Bakare With 100,000,000 APC Nominations Form!😭

So Aso Rock is better than God's vanyerd? See where una church money dey go. Very pathetic Pastors everywhere.

“God of Men” indeed .

Christian’s does dis make any sense to you? https://t.co/sP6GOctgzh",51,10,https://twitter.com/AreaFada1/status/1523291512754569216,2022-05-08 13:19:32+00:00
ShehuSani,Senator Shehu Sani,"This is to wish all Christians marking and celebrating the Easter,a blessed and happy Easter season.May we all share its glory and grace.",1666,165,https://twitter.com/ShehuSani/status/1515233811071737859,2022-04-16 07:41:06+00:00
PoliceNG,Nigeria Police Force,"While felicitating with Nigerians, and the Christian community in particular, on the commemoration of the crucifixion, death, and resurrection of Jesus Christ, ...",11,2,https://twitter.com/PoliceNG/status/1514642802365415425,2022-04-14 16:32:39+00:00
PoliceNG,Nigeria Police Force,"2022 EASTER CELEBRATIONS: IGP FELICITATES WITH THE NIGERIAN CHRISTIAN COMMUNITY

• Orders Strategic Commanders to Ensure Round-the-Clock Security of the Public Space https://t.co/3TvmRMMMqS",71,16,https://twitter.com/PoliceNG/status/1514642192299610132,2022-04-14 16:30:13+00:00
obyezeks,Oby Ezekwesili,"God give us Christian homes
Homes where the mother, in caring quest
Strives to show others Your way is best
Homes where the Lord is an honoured guest
God give us Christian homes
God give us Christian homes!
 
#HappyMothersDay👸🏾🤱🏾",99,16,https://twitter.com/obyezeks/status/1508147167101390858,2022-03-27 18:21:19+00:00
mrmacaronii,MrMacaroni,@unclegee001 My mom is a Christian and my dad is a Muslim. Till date.,524,26,https://twitter.com/mrmacaronii/status/1506690152269238272,2022-03-23 17:51:39+00:00
mrmacaronii,MrMacaroni,"So here are some facts about me. 
For those that keep asking...  These are pure facts. If you have questions, you can ask. 
I am Adebowale Adedayo, born  in Lagos on the 3rd day of May, 1993. Into a Muslim and Christian Family.  I answer David and Ibrahim.",12191,1762,https://twitter.com/mrmacaronii/status/1506682915530358791,2022-03-23 17:22:54+00:00
BashirAhmaad,Bashir Ahmad,Happy 80th birthday to Pastor E. A. Adeboye of the Redeemed Christian Church of God (RCCG). May God continue to bless his life. https://t.co/frzUeMxh9z,722,80,https://twitter.com/BashirAhmaad/status/1498970028833660928,2022-03-02 10:34:39+00:00
BashirAhmaad,Bashir Ahmad,"President Muhammadu Buhari joins members of Redeemed Christian Church of God (RCCG), the Christian community, particularly clergymen in Nigeria and abroad, in celebrating with Pastor Enoch Adejare Adeboye on the auspicious occasion of his 80th birthday.",604,91,https://twitter.com/BashirAhmaad/status/1498584669209915394,2022-03-01 09:03:22+00:00
obyezeks,Oby Ezekwesili,"“Thank you.
The Embassy of Nigeria,
Warsaw, Poland

Cc: The Ambassador, H.E Christian Ugwu
The Perm. Sec Gabriel Tanimu Aduda, Ministry of Foreign Affairs” 

#NigeriansInUkraine @GeoffreyOnyeama @NigeriaGov https://t.co/6oBhH3w4Xq",24,9,https://twitter.com/obyezeks/status/1498230529275183106,2022-02-28 09:36:08+00:00
obyezeks,Oby Ezekwesili,"“Thank you.
The Embassy of Nigeria,
Warsaw, Poland

Cc: The Ambassador, H.E Christian Ugwu
The Perm. Sec Gabriel Tanimu Aduda, Ministry of Foreign Affairs” 

#NigeriansInUkraine @GeoffreyOnyeama @NigeriaGov",10,2,https://twitter.com/obyezeks/status/1498230198101331971,2022-02-28 09:34:49+00:00
AreaFada1,Charly Boy Area Fada 1,"In dis our Nigeria, there are many Mumu’s in the Christian world who lack understanding of how tins work. Respect yasef, 
Don’t argue with demoooo https://t.co/TOupuGgWhg",55,30,https://twitter.com/AreaFada1/status/1495314567538302978,2022-02-20 08:29:09+00:00
BashirAhmaad,Bashir Ahmad,"@GladHeart9 If that’s what came to your mind, then let me help you get this to your head, Aboubakar is a Christian while Mané is a Muslim.",604,50,https://twitter.com/BashirAhmaad/status/1490448544825753603,2022-02-06 22:13:18+00:00
AishaYesufu,Aisha Yesufu,"@Besgrey Muslim Muslim ticket? In this present day polarized Nigeria?
The Kano Christians are so marginalized many people don't even know there are kano indigenes that are Christians",28,9,https://twitter.com/AishaYesufu/status/1477956196015427586,2022-01-03 10:53:10+00:00
AishaYesufu,Aisha Yesufu,"@Dontee___ @FATHERMYSTERY @pojugreat @Hitee_ I wouldn't be surprised if APC field GEJ. That will be a smart move for APC.
1) He is southerner.
2) He is Christian 
3) He can easily be sold to the masses especially the North that the prices of things will go back to 2014 price. 
4) Nigerians have very short term memories 
🚶‍♀️",3,2,https://twitter.com/AishaYesufu/status/1477952413436948482,2022-01-03 10:38:09+00:00
ShehuSani,Senator Shehu Sani,This is to wish all our Christian friends a blessed and merry Christmas and a happy new year in advance.,950,105,https://twitter.com/ShehuSani/status/1474518822501732360,2021-12-24 23:14:17+00:00
AishaYesufu,Aisha Yesufu,They will not even accept Northern Christian and Southern Muslim President,12,2,https://twitter.com/AishaYesufu/status/1474304074971598848,2021-12-24 09:00:57+00:00
AishaYesufu,Aisha Yesufu,"So pathetic!
Until we tackle it is either a Southern Christian President or the highway and the it is either a Northern Muslim President or the highway people, we will not get good governance. They are the sycophants that enable failed government. https://t.co/AQgCPM0wuR",21,8,https://twitter.com/AishaYesufu/status/1474303821581111323,2021-12-24 08:59:56+00:00
AishaYesufu,Aisha Yesufu,"@tonydaymn10 @awallexy You have no proof. You were a sycophant who wanted Jonathan by all means because he was Christian and Southern. You are no different from those that will never see the wrong Buhari has done because he is Muslim and Northern. 
Shame!",1,0,https://twitter.com/AishaYesufu/status/1474296730669797391,2021-12-24 08:31:46+00:00
AishaYesufu,Aisha Yesufu,"@tonydaymn10 Now it is your turn to protest. You were the one that took Jonathan as your Messiah because he was Christian and from the south.
So you have excuses for Jonathan's invasion of National Assembly the same way that others initially had excuses for that during Osinbajo until he acted",0,0,https://twitter.com/AishaYesufu/status/1474288674238042114,2021-12-24 07:59:45+00:00
AishaYesufu,Aisha Yesufu,"@ayoadegbites the movement i was part of faced DSS harassment during Jonathan. You were silent because Jonathan was Christian President from the South just as some people are silent because Buhari is Muslim President from the North.
Your likes are the evil plaguing Nigeria https://t.co/Q2kBBCjym8",0,0,https://twitter.com/AishaYesufu/status/1473265118591033347,2021-12-21 12:12:30+00:00
AishaYesufu,Aisha Yesufu,"Where is Oritsejafor today?
The hypocrisy of aligning with religion and region did not start today. Many, whose people were being killed were attacking those of us holding last administration accountable because the then president was a Christian. 
Leave things! https://t.co/coLuY1GYUg",27,7,https://twitter.com/AishaYesufu/status/1469670940539867137,2021-12-11 14:10:32+00:00
AishaYesufu,Aisha Yesufu,"Pastors have failed and imams have failed. When Southern Kaduna people were being killed in 2014 a pastor threatened people with hell fire if they do not vote for the president who was silent over the killings because he was Christian. 
The Christianity then was put on ice! https://t.co/coLuY1GYUg",36,8,https://twitter.com/AishaYesufu/status/1469670164983685126,2021-12-11 14:07:27+00:00
AishaYesufu,Aisha Yesufu,"🤣🤣🤣🤣
Let me repeat Oyedepo was yesterday's MURIC man. 
Many of you were asleep during yesterday's atrocities because the person in charge of the atrocities was a Christian just as many are asleep today because the person in charge of today's atrocities is a Muslim!
Pathetic! https://t.co/FFRQYH0IpX",30,14,https://twitter.com/AishaYesufu/status/1469663041004445701,2021-12-11 13:39:08+00:00
AishaYesufu,Aisha Yesufu,The way the MURIC man shouts up and down because a Muslim is president is the way Oyedepo was shouting up and down because a Christian was president! https://t.co/P8QqnnF6Io,24,7,https://twitter.com/AishaYesufu/status/1469662115816517637,2021-12-11 13:35:28+00:00
AishaYesufu,Aisha Yesufu,"Some of you were sleeping when Oyedepo threatened those who go against Jonathan with hell fire because a Christian and southerner was President. You are the same with those who are silent today because a Muslim and Northerner is President. 
You are  the problem Nigeria has. https://t.co/J6mclwbDSO",25,10,https://twitter.com/AishaYesufu/status/1469661140670197767,2021-12-11 13:31:35+00:00
AishaYesufu,Aisha Yesufu,"Where was your voice when #ChibokGirls were abducted? They weren't Christian enough because a Christian was President?
Where was your voice when citizens were being killed? 
You even said we will go to hell fire if we do not vote GEJ
You and that MURIC man are the same!
Pathetic! https://t.co/qXIvjkpYMi",192,46,https://twitter.com/AishaYesufu/status/1469379524131446797,2021-12-10 18:52:32+00:00
obyezeks,Oby Ezekwesili,"Don Moen’s “God Will Make a Way Where There Seems to be No Way”.💡

An anthem of our generation of the early 90s Christians. 

Glad to see him continuing to minister around the world. 👍🏾😊",169,19,https://twitter.com/obyezeks/status/1466937454477381643,2021-12-04 01:08:38+00:00
ShehuSani,Senator Shehu Sani,"They killed Muslim worshipers in their mosques in Niger and Katsina state; they killed Christians in their Churches in Kaduna state;if the Government doesn’t want to declare them terrorists,it should declare them federal civil servants.",3559,1356,https://twitter.com/ShehuSani/status/1455070631729537025,2021-11-01 07:14:07+00:00
bulamabukarti,Bulama Bukarti,"@LeenaHoffmann More Muslims dying is a counter to a story that pretends that only Christians die. If you don't find that ""good"", thank God I ain't out to convince you. 

Have a great rest of the day!",3,1,https://twitter.com/bulamabukarti/status/1444961964531363840,2021-10-04 09:45:53+00:00
bulamabukarti,Bulama Bukarti,"But you don't find passing Boko Haram as a threat just against Christians crude and disservice?

What do you mean by ""violence affects different groups differently""? Some die differently from others?

My point's that portraying BH as a threat against one group is disingenuous. https://t.co/wgbyHOFYfA",44,20,https://twitter.com/bulamabukarti/status/1444957501838053379,2021-10-04 09:28:09+00:00
bulamabukarti,Bulama Bukarti,Fox appears to be done dividing America and gone global. True that Boko Haram has killed many Christians - which is terrible. But it’s the case that the terror group has killed far more Muslims. Fox didn’t have the decency of making the majority of the victims even a footnote. https://t.co/CaVDL9DmmE,134,103,https://twitter.com/bulamabukarti/status/1444759831898951685,2021-10-03 20:22:40+00:00
AishaYesufu,Aisha Yesufu,"@seunonigbinde @Soojaey Let's not forget the role of religious rulers. 
On the muslim side, they tell the people to endure that the hereafter is theirs. On the Christian side they tell the people that person miracle will suffice. On the traditional side they tell you to be fortified and get ritual money",4,1,https://twitter.com/AishaYesufu/status/1435232632762257408,2021-09-07 13:24:59+00:00
AishaYesufu,Aisha Yesufu,"The other day someone tweeted that Boko Haram started because GEJ was a Christian President i just laughed. We are failed by leaders and we make excuses for them. 
@ose_anenih #PDPIsTheSameAsAPC
#LikeGejitesLikeBuharists https://t.co/2JSW1QhlMA",14,4,https://twitter.com/AishaYesufu/status/1434828444177772551,2021-09-06 10:38:53+00:00
bulamabukarti,Bulama Bukarti,"It’s wrong to massacre innocent travelers. It’s wrong to slaughter innocent villagers in Yelwa. Now, if more Muslims are killed, more Christians will be killed. If more Christians are killed, more Muslims will be killed. The cycle will keep expanding and all will keep losing.",108,54,https://twitter.com/bulamabukarti/status/1431551697038491653,2021-08-28 09:38:16+00:00
bulamabukarti,Bulama Bukarti,"Two weeks ago, some violent people, who happen to be Christian, killed 30 Muslim travelers. Then reckless Muslims incited beasts, who happen to be Muslim, to kill 33 innocent Christians. Now, reckless Christians are inciting counter-reprisal. Can’t we see where this will take us?",262,133,https://twitter.com/bulamabukarti/status/1431551695411159042,2021-08-28 09:38:15+00:00
bulamabukarti,Bulama Bukarti,"BBC Hausa gave update yesterday on the death toll and victims of the Zangam attack. A community leader in the village told the BBC that 33 bodies have so far been identified and that the victims were from the Anaguta ethnic group, majority of whom are Christian. This is barbaric!",672,658,https://twitter.com/bulamabukarti/status/1431130388815024128,2021-08-27 05:44:08+00:00
bulamabukarti,Bulama Bukarti,Striking how communities in Nigeria hold exactly the same grievances against each other. Christians say security forces don’t respond quickly when they’re attacked. Muslims say the same. Muslims say the media turns the other way when they’re the victims. Christian say the same.,231,82,https://twitter.com/bulamabukarti/status/1427556594787700739,2021-08-17 09:03:09+00:00
ShehuSani,Senator Shehu Sani,Two hundred Students of the Tegina Islamic school in Niger State are in the hands of Bandits;One hundred and twenty one students of the Bethel Baptist High School Kaduna are in the hands of Bandits:Terrorists in Northern Nigeria spare neither Muslims nor Christians nor animists.,935,421,https://twitter.com/ShehuSani/status/1418479810947567616,2021-07-23 07:55:15+00:00
AishaYesufu,Aisha Yesufu,"There are no places where there are no indigenous people with a different religion from that of the majority.
Kano State has indigenous christians called maguzawa ( was told it is derogatory tetm). They are the original indigenous people of Kano. Just like Native indians of US https://t.co/BmcvdLklaR",261,76,https://twitter.com/AishaYesufu/status/1417887011399249923,2021-07-21 16:39:41+00:00
ShehuSani,Senator Shehu Sani,In Kaduna State both Muslims and Christians are victims of Banditry and terrorism.The difference is that the representatives of the former have voluntarily chosen to conceal the suffering and tragedy of their people in order not to hurt the people in Government.,934,329,https://twitter.com/ShehuSani/status/1417130990850424835,2021-07-19 14:35:31+00:00
AishaYesufu,Aisha Yesufu,"Where is the outrage of those Islamic scholars ( They are not deserving of being called scholars sef)from sokoto and kano about the students from ISLAMIYA SCHOOL that were abducted? The hypocrites would have remembered the children were Muslims if a Christian was President
Shame! https://t.co/hSIhOocajT",47,29,https://twitter.com/AishaYesufu/status/1416348663945863168,2021-07-17 10:46:50+00:00
AishaYesufu,Aisha Yesufu,"So it is okay for someone from the North/Muslim to say they are not the same with these people from the South/Christians over the cultism and killings, the lynching and murders, the burying of humans live as foundation for churches, the money rituals using human body parts etc? https://t.co/gyRRE0crgT",24,7,https://twitter.com/AishaYesufu/status/1415983980214620162,2021-07-16 10:37:43+00:00
AishaYesufu,Aisha Yesufu,"This was less than a year ago. There were people who condemned, there were people who supported and they were people who did not engage. 
Did anyone lump everyone from the South or every Christian as ""THESE PEOPLE ""
That is what @KadariaAhmed is talking about. https://t.co/CXOhYB2B4f",47,13,https://twitter.com/AishaYesufu/status/1415959878053552132,2021-07-16 09:01:56+00:00
AishaYesufu,Aisha Yesufu,"When Pastor Ibiyeomie threatened to kill Daddy Freeze if he ever insult Pastor Oyedepo again, did anyone talk about ""THESE PEOPLE""?
There were Christians and Scotherners who condemned, there were those who supported and those who didn't engage!
https://t.co/Dq0KuPJJmC https://t.co/7f2tIppJhj",13,7,https://twitter.com/AishaYesufu/status/1415957619005657089,2021-07-16 08:52:58+00:00
AishaYesufu,Aisha Yesufu,"Southern Kaduna lives meant nothing to many from Southern Kaduna in 2014 because Jonathan a Christian was President. 
I have since concluded religion means more to those from the 19 Northern States than the lives of their people https://t.co/wFKLXcALo6 https://t.co/ZADrsoBePr",14,7,https://twitter.com/AishaYesufu/status/1414564848835469317,2021-07-12 12:38:35+00:00
AishaYesufu,Aisha Yesufu,"A Nigerian in New York said I should apologise for my choices in 2015 election. 
The people from Southern Kaduna that were killed then didn't matter because a Christian was President just as people from Katsina killed today don't matter be a a Muslim is President. 
What a people! https://t.co/VIEpB196R5 https://t.co/taPfjhGJBS",13,8,https://twitter.com/AishaYesufu/status/1414560775855824897,2021-07-12 12:22:24+00:00
AishaYesufu,Aisha Yesufu,"Innalillahi wa Inna ilayhi rajiun.
Buhari has shown beyond reasonable doubt that he does not care for Nigerian lives be it Muslim, Christian,  Male, female, old, young, Northerner or Southerner. https://t.co/hpiQuzE1x8",159,80,https://twitter.com/AishaYesufu/status/1406549793514606592,2021-06-20 09:49:37+00:00
AreaFada1,Charly Boy Area Fada 1,"My friend, do not be mumued the real battle is not between North and South, Christian and Muslim, Igbo and Fulani. No.The real battle is between love and hate, between extremism and tolerance, between meritocracy and privilege, between a dynamic view of culture and a static one.",132,45,https://twitter.com/AreaFada1/status/1400698997594103809,2021-06-04 06:20:39+00:00
